year,order,name,conditions,surface,fin_commit,winner,winner_slug,currency,amount
2005,14,Sao Paulo,Outdoor,Clay,"$380,000",Rafael Nadal,rafael-nadal,$,380000.0
2005,15,Acapulco,Outdoor,Clay,"$643,000",Rafael Nadal,rafael-nadal,$,643000.0
2005,16,Dubai,Outdoor,Hard,"$1,000,000",Roger Federer,roger-federer,$,1000000.0
2005,17,Scottsdale,Outdoor,Hard,"$380,000",Wayne Arthurs,wayne-arthurs,$,380000.0
2005,18,ATP Masters Series Indian Wells,Outdoor,Hard,"$2,974,600",Roger Federer,roger-federer,$,2974600.0
2005,19,ATP Masters Series Miami,Outdoor,Hard,"$3,450,000",Roger Federer,roger-federer,$,3450000.0
2005,20,Casablanca,Outdoor,Clay,"$380,000",Mariano Puerta,mariano-puerta,$,380000.0
2005,21,Valencia,Outdoor,Clay,"$400,000",Igor Andreev,igor-andreev,$,400000.0
2005,22,ATP Masters Series Monte Carlo,Outdoor,Clay,"$2,450,000",Rafael Nadal,rafael-nadal,$,2450000.0
2005,23,Barcelona,Outdoor,Clay,"$1,000,000",Rafael Nadal,rafael-nadal,$,1000000.0
2005,24,Houston,Outdoor,Clay,"$380,000",Andy Roddick,andy-roddick,$,380000.0
2005,25,Estoril,Outdoor,Clay,"$625,000",Gaston Gaudio,gaston-gaudio,$,625000.0
2005,26,Munich,Outdoor,Clay,"$380,000",David Nalbandian,david-nalbandian,$,380000.0
2005,27,ATP Masters Series Rome,Outdoor,Clay,"$2,450,000",Rafael Nadal,rafael-nadal,$,2450000.0
2005,28,ATP Masters Series Hamburg,Outdoor,Clay,"$2,450,000",Roger Federer,roger-federer,$,2450000.0
2005,29,World Team Championship,Outdoor,Clay,"$1,500,000",Guillermo Coria,guillermo-coria,$,1500000.0
2005,30,St. Poelten,Outdoor,Clay,"$380,000",Nikolay Davydenko,nikolay-davydenko,$,380000.0
2005,31,Roland Garros,Outdoor,Clay,"$7,992,394",Rafael Nadal,rafael-nadal,$,7992394.0
2005,32,Halle,Outdoor,Grass,"$800,000",Roger Federer,roger-federer,$,800000.0
2005,33,London / Queen's Club,Outdoor,Grass,"$800,000",Andy Roddick,andy-roddick,$,800000.0
2005,34,Nottingham,Outdoor,Grass,"$380,000",Richard Gasquet,richard-gasquet,$,380000.0
2005,35,'s-Hertogenbosch,Outdoor,Grass,"$380,000",Mario Ancic,mario-ancic,$,380000.0
2005,36,Wimbledon,Outdoor,Grass,"$8,616,793",Roger Federer,roger-federer,$,8616793.0
2005,37,Bastad,Outdoor,Clay,"$380,000",Rafael Nadal,rafael-nadal,$,380000.0
2005,38,Gstaad,Outdoor,Clay,"$495,000",Gaston Gaudio,gaston-gaudio,$,495000.0
2005,39,Newport,Outdoor,Grass,"$380,000",Greg Rusedski,greg-rusedski,$,380000.0
